"注：
1. 本体资源创建时，带*红色字段为必填字段；同一对象的多个属性信息前，只需要重复填写“对象英文名称”。
2. 每列名称请勿修改，修改后会导致导入出错。实际使用时，样例数据需删除。",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
AtomicMarketSegmentCharacteristic,,,,minCardinality,最小基数,String,CharacteristicValue 可以呈现的最小实例数。例如，群组呼叫计划中的零到五个电话号码，其中零是 minCardinality 的值。,,
AtomicMarketSegmentCharacteristic,,,,name,名称,String,一个单词、术语或短语，通过它可以了解特征并与特征区分开来。（«required»）,,是
AtomicMarketSegmentCharacteristic,,,,unique,唯一,String,"指定值对于规范是否唯一的指示符。
可能的值为； “在值有效时唯一”和“无论值是否有效都是唯一”",,
AtomicMarketSegmentCharacteristic,,,,validFor,有效期限,String,特征适用的时间段。,,
AtomicMarketSegmentCharacteristic,,,,valueType,值类型,String,特征可以采用的一种值，例如数字、文本等。,,
CompositeMarketSegment,Composite市场细分,一种通过聚合其他 MarketSegment 形成的 MarketSegment 类型，这些 MarketSegment 可能是复合 MarketSegment 或原子 MarketSegment。,启用,category,类别,String,市场细分的分类，因为它们具有共同的特征。例如垂直或水平市场细分。垂直 MarketSegments 将 PartyRole 放在单个细分中，而 PartyRole 可以存在于多个水平 MarketSegments 中,,
CompositeMarketSegment,,,,subCategory,子类别,String,对市场细分的进一步分类，因为它们具有共同的特征。例如，垂直类别 MarketSegment 可以进一步分类为消费者、企业或运营商。,,
CompositeMarketSegment,,,,dateCreated,创建日期,String,创建 PartyProfile 的日期。,,
CompositeMarketSegment,,,,description,描述,String,解释 PartyProfile 是什么的叙述。,,
CompositeMarketSegment,,,,ID,标识,String,PartyProfile的唯一标识符。（«required»）,是,
CompositeMarketSegment,,,,name,名称,String,一个单词、术语或短语，通过它可以了解该特征并将其与特征区分开来。,,是
CompositeMarketSegment,,,,ID,标识,String,Segment的唯一标识符（«required»）,是,
CompositeMarketSegment,,,,respectsThreshold,阈值遵从,String,属性respectsThreshold指定Segment是否遵循SegmentSpecification定义的下限和上限大小。,,
CompositeMarketSegment,,,,validFor,有效期限,String,第 段的有效期间。,,
CompositeMarketSegment,,,,description,描述,String,"这是一个字符串，定义对象的文本自由格式描述。
笔记：
M.3100 中不存在该属性。为此，CIM 有两个属性：标题（简短描述）和描述。",,
CompositeMarketSegment,,,,ID,标识,String,明确区分不同的对象实例。（«required»）,是,
CompositeMarketSegment,,,,name,名称,String,表示对象的用户友好标识符。它是一个（可能不明确的）名称，该对象在某些有限范围（例如组织）中通常被称为名称，并且符合与其相关的国家或文化的命名约定。它不用作命名属性（即唯一标识对象的实例）。,,是
CompositeMarketSegmentCharacteristic,Composite市场细分特征,通过聚合其他 MarketSegmentCharacteristic 形成的 MarketSegmentCharacteristic 类型，可以是 Composite 或 Atomic MarketSegmentCharacteristic。,启用,derivationFormula,推导公式,String,以符号、数字或字母表示的规则或原则，通常以方程的形式用于导出特征值的值。,,
CompositeMarketSegmentCharacteristic,,,,description,描述,String,解释特征是什么的叙述。,,
CompositeMarketSegmentCharacteristic,,,,extensible,术语extensible,String,一个指示符，指定在实例化实体的特征时可以通过添加新值来扩展特征的值。,,
CompositeMarketSegmentCharacteristic,,,,ID,标识,String,MarketSegmentCharacteristic 的唯一标识符。（«required»）,是,
CompositeMarketSegmentCharacteristic,,,,maxCardinality,最大基数,String,CharacteristicValue 可以呈现的最大实例数。例如，群组呼叫计划中的零到五个电话号码，其中 5 是 maxCardinality 的值。,,
CompositeMarketSegmentCharacteristic,,,,minCardinality,最小基数,String,CharacteristicValue 可以呈现的最小实例数。例如，群组呼叫计划中的零到五个电话号码，其中零是 minCardinality 的值。,,
CompositeMarketSegmentCharacteristic,,,,name,名称,String,一个单词、术语或短语，通过它可以了解特征并与特征区分开来。（«required»）,,是
CompositeMarketSegmentCharacteristic,,,,unique,唯一,String,"指定值对于规范是否唯一的指示符。
可能的值为； “在值有效时唯一”和“无论值是否有效都是唯一”",,
CompositeMarketSegmentCharacteristic,,,,validFor,有效期限,String,特征适用的时间段。,,
CompositeMarketSegmentCharacteristic,,,,valueType,值类型,String,特征可以采用的一种值，例如数字、文本等。,,
MarketSegment,市场细分,各方、地理区域、销售渠道等的分组。从内部和外部（竞争对手和其他提供商）的角度来看，市场细分是营销活动和产品提供规范的目标。,启用,category,类别,String,市场细分的分类，因为它们具有共同的特征。例如垂直或水平市场细分。垂直 MarketSegments 将 PartyRole 放在单个细分中，而 PartyRole 可以存在于多个水平 MarketSegments 中,,
MarketSegment,,,,subCategory,子类别,String,对市场细分的进一步分类，因为它们具有共同的特征。例如，垂直类别 MarketSegment 可以进一步分类为消费者、企业或运营商。,,
MarketSegment,,,,dateCreated,创建日期,String,创建 PartyProfile 的日期。,,
MarketSegment,,,,description,描述,String,解释 PartyProfile 是什么的叙述。,,
MarketSegment,,,,ID,标识,String,PartyProfile的唯一标识符。（«required»）,是,
MarketSegment,,,,name,名称,String,一个单词、术语或短语，通过它可以了解该特征并将其与特征区分开来。,,是
MarketSegment,,,,ID,标识,String,Segment的唯一标识符（«required»）,是,
MarketSegment,,,,respectsThreshold,阈值遵从,String,属性respectsThreshold指定Segment是否遵循SegmentSpecification定义的下限和上限大小。,,
MarketSegment,,,,validFor,有效期限,String,第 段的有效期间。,,
MarketSegment,,,,description,描述,String,"这是一个字符串，定义对象的文本自由格式描述。
笔记：
M.3100 中不存在该属性。为此，CIM 有两个属性：标题（简短描述）和描述。",,
MarketSegment,,,,ID,标识,String,明确区分不同的对象实例。（«required»）,是,
MarketSegment,,,,name,名称,String,表示对象的用户友好标识符。它是一个（可能不明确的）名称，该对象在某些有限范围（例如组织）中通常被称为名称，并且符合与其相关的国家或文化的命名约定。它不用作命名属性（即唯一标识对象的实例）。,,是
MarketSegmentCharacteristic,市场细分特征,"市场细分的特征质量或显着特征。该特征可以采用离散值（例如性别），也可以采用一系列值（例如，家庭收入为 50,000 美元 - 100,000 美元），或者可以从公式导出（例如，家庭数量 = 客户方角色数量）。",启用,derivationFormula,推导公式,String,以符号、数字或字母表示的规则或原则，通常以方程的形式用于导出特征值的值。,,
MarketSegmentCharacteristic,,,,description,描述,String,解释特征是什么的叙述。,,
MarketSegmentCharacteristic,,,,extensible,术语extensible,String,一个指示符，指定在实例化实体的特征时可以通过添加新值来扩展特征的值。,,
MarketSegmentCharacteristic,,,,ID,标识,String,MarketSegmentCharacteristic 的唯一标识符。（«required»）,是,
MarketSegmentCharacteristic,,,,maxCardinality,最大基数,String,CharacteristicValue 可以呈现的最大实例数。例如，群组呼叫计划中的零到五个电话号码，其中 5 是 maxCardinality 的值。,,
MarketSegmentCharacteristic,,,,minCardinality,最小基数,String,CharacteristicValue 可以呈现的最小实例数。例如，群组呼叫计划中的零到五个电话号码，其中零是 minCardinality 的值。,,
MarketSegmentCharacteristic,,,,name,名称,String,一个单词、术语或短语，通过它可以了解特征并与特征区分开来。（«required»）,,是
MarketSegmentCharacteristic,,,,unique,唯一,String,"指定值对于规范是否唯一的指示符。
可能的值为； “在值有效时唯一”和“无论值是否有效都是唯一”",,
MarketSegmentCharacteristic,,,,validFor,有效期限,String,特征适用的时间段。,,
MarketSegmentCharacteristic,,,,valueType,值类型,String,特征可以采用的一种值，例如数字、文本等。,,
MarketSegmentCharacteristicValue,市场细分特征值,可以分配给 MarketSegmentCharacteristic 的数字或文本。,启用,fromValue,起始值,String,特征可以呈现的低范围值。,,
MarketSegmentCharacteristicValue,,,,isDefault,是否默认,String,指示该值是否为特征的默认值。,,
MarketSegmentCharacteristicValue,,,,rangeInterval,范围区间,String,"指定包含或排除 valueFrom 和 valueTo 属性的指示符。
可能的值为“打开”、“关闭”、“关闭底部”和“关闭顶部”。",,
MarketSegmentCharacteristicValue,,,,toValue,结束值,String,特征可以采用的上限范围值。,,
MarketSegmentCharacteristicValue,,,,unitOfMeasure,计量单位,String,长度、表面积、体积、干量、液体量、金钱、重量、时间等。一般来说，指定类型的确定数量或大小，作为与其他同类产品进行比较的标准，并为其指定数值，如 1 英尺、1 码、1 英里、1 平方英尺。,,
MarketSegmentCharacteristicValue,,,,validFor,有效期限,String,值适用的时间段。,,
MarketSegmentCharacteristicValue,,,,value,值,String,特征可以采用的离散值。,,
MarketSegmentCharacteristicValue,,,,valueType,值类型,String,特征可以采用的一种值，例如数字、文本等。,,
Market & Sales Domain.Competitor ABE,市场&销售Domain.CompetitorABE,"·         竞争对手 ABE 识别在同一细分市场中竞争的其他提供商，积累有关竞争对手的情报，包括产品（价格、关键绩效指标等）。
竞争对手 ABE 提供与企业竞争对手情报分析相关的信息。  了解竞争对手是谁、他们的产品是什么、他们产品的目标市场是什么以及他们的产品有多成功至关重要。
竞争对手 ABE 和竞争对手实体还包括以下二级 ABE
竞争对手情报
与竞争对手相关的各种产品领域 ABE",启用,,,,,,
CompetitiveTier,术语CompetitiveTier,竞争对手的分类，例如按规模、提供的产品线等。,启用,perspective,术语perspective,String,如何查看竞争等级，例如垂直或水平。,,
CompetitiveTier,,,,perspectiveCharacteristic,perspective特征,String,进一步描述可识别视角的特征或质量，例如消费者、业务、运营商、规模、用途、客户等。例如，消费者垂直市场视角。,,
CompetitiveTier,,,,size,术语size,String,与其他竞争对手相比，竞争对手有多大，例如小、中、大。,,
Competitor,术语Competitor,扮演 PartyRole 的一方，提供与 MarketSegment 中企业的 ProductOfferingSpecifications 类似的 ProductOfferingSpecifications。,启用,dateCreated,创建日期,String,首次对竞争对手表现出兴趣的日期。,,
Competitor,,,,status,状态,String,用于跟踪生命周期状态，例如现有、潜在或以前的客户。（«required»）,,
Competitor,,,,validFor,有效期限,String,PartyRole的有效时间段（«required»）,,
Competitor,,,,description,描述,String,"这是一个字符串，定义对象的文本自由格式描述。
笔记：
M.3100 中不存在该属性。为此，CIM 有两个属性：标题（简短描述）和描述。",,
Competitor,,,,ID,标识,String,明确区分不同的对象实例。（«required»）,是,
Competitor,,,,name,名称,String,表示对象的用户友好标识符。它是一个（可能不明确的）名称，该对象在某些有限范围（例如组织）中通常被称为名称，并且符合与其相关的国家或文化的命名约定。它不用作命名属性（即唯一标识对象的实例）。,,是
CompetitorMarketSegment,Competitor市场细分,由竞争对手服务的市场细分。,启用,plannedMarketEntryDate,planned市场Entry日期,String,竞争对手计划在细分市场中提供产品的日期。,,
CompetitorMarketSegment,,,,rank,术语rank,String,某个市场细分中的竞争对手相对于该细分市场中的其他竞争对手的重要性或卓越程度。,,
CompetitorMarketSegment,,,,validFor,有效期限,String,竞争对手市场细分信息适用的期间。,,
CompetitorMarketSegmentSWOT,Competitor市场细分SWOT,竞争对手所服务的细分市场的优势、劣势、机会或威胁。,启用,description,描述,String,进一步详细说明细分市场中竞争对手的优势、劣势、机会或威胁的叙述。,,
CompetitorSWOT,术语CompetitorSWOT,与竞争对手相比的一般（非细分市场）优势、劣势、机会或威胁。,启用,description,描述,String,进一步详细描述优势、劣势、机会或威胁的叙述。,,
CompetitorTier,术语CompetitorTier,竞争对手所在的层级。,启用,description,描述,String,进一步详细说明竞争对手在竞争级别中的位置的叙述。,,
SWOT,术语SWOT,企业与竞争对手相比的优势、劣势、机会、威胁 (SWOT)。 SWOT 分析是识别和确定组织成长机会的正式框架。,启用,swotType,swot类型,String,组织分析的一类，例如优势（S）、劣势（W）、机会（O）、威胁（T）。,,
Competitor ABE.Competitor Intelligence ABE,CompetitorABE.CompetitorIntelligenceABE,竞争对手情报 ABE 包含收集的有关竞争对手计划和活动的事实。这些事实可用于执行竞争对手的 SWOT 分析，以便更好地了解竞争对手。,启用,,,,,,
AtomicCompIntelCharacteristic,AtomicCompIntel特征,不具有任何从属 CompIntelCharacteristics 的 CompIntelCharacteristic 类型，即 AtomicCompIntelCharacteristic 是叶级 CompIntelCharacteristic。,启用,derivationFormula,推导公式,String,以符号、数字或字母表示的规则或原则，通常以方程的形式用于导出特征值的值。,,
AtomicCompIntelCharacteristic,,,,description,描述,String,解释特征是什么的叙述。,,
AtomicCompIntelCharacteristic,,,,extensible,术语extensible,String,一个指示符，指定在实例化实体的特征时可以通过添加新值来扩展特征的值。,,
AtomicCompIntelCharacteristic,,,,ID,标识,String,CompetitorIntelCharacteristic的唯一标识符。（«required»）,是,
AtomicCompIntelCharacteristic,,,,maxCardinality,最大基数,String,CharacteristicValue 可以呈现的最大实例数。例如，群组呼叫计划中的零到五个电话号码，其中 5 是 maxCardinality 的值。,,
AtomicCompIntelCharacteristic,,,,minCardinality,最小基数,String,CharacteristicValue 可以呈现的最小实例数。例如，群组呼叫计划中的零到五个电话号码，其中零是 minCardinality 的值。,,
AtomicCompIntelCharacteristic,,,,name,名称,String,一个单词、术语或短语，通过它可以了解特征并与特征区分开来。（«required»）,,是
AtomicCompIntelCharacteristic,,,,unique,唯一,String,"指定值对于规范是否唯一的指示符。
可能的值为； “在值有效时唯一”和“无论值是否有效都是唯一”",,
AtomicCompIntelCharacteristic,,,,validFor,有效期限,String,特征适用的时间段。,,
AtomicCompIntelCharacteristic,,,,valueType,值类型,String,特征可以采用的一种值，例如数字、文本等。,,
CompetitorIntelCharacteristic,CompetitorIntel特征,"竞争对手情报的特征品质或显着特征。该特征可以采用离散值，例如新闻稿的数量，也可以采用一系列值（例如，MarketSegment 内的客户数量 (50,000 - 100,000)），或者可以从公式导出（例如，MaketSegment 中提供的产品数量 = 与 MarketSegment 关联的竞争对手的 ProductOfferrng 实例的数量）。",启用,derivationFormula,推导公式,String,以符号、数字或字母表示的规则或原则，通常以方程的形式用于导出特征值的值。,,
CompetitorIntelCharacteristic,,,,description,描述,String,解释特征是什么的叙述。,,
CompetitorIntelCharacteristic,,,,extensible,术语extensible,String,一个指示符，指定在实例化实体的特征时可以通过添加新值来扩展特征的值。,,
CompetitorIntelCharacteristic,,,,ID,标识,String,CompetitorIntelCharacteristic的唯一标识符。（«required»）,是,
CompetitorIntelCharacteristic,,,,maxCardinality,最大基数,String,CharacteristicValue 可以呈现的最大实例数。例如，群组呼叫计划中的零到五个电话号码，其中 5 是 maxCardinality 的值。,,
CompetitorIntelCharacteristic,,,,minCardinality,最小基数,String,CharacteristicValue 可以呈现的最小实例数。例如，群组呼叫计划中的零到五个电话号码，其中零是 minCardinality 的值。,,
CompetitorIntelCharacteristic,,,,name,名称,String,一个单词、术语或短语，通过它可以了解特征并与特征区分开来。（«required»）,,是
CompetitorIntelCharacteristic,,,,unique,唯一,String,"指定值对于规范是否唯一的指示符。
可能的值为； “在值有效时唯一”和“无论值是否有效都是唯一”",,
CompetitorIntelCharacteristic,,,,validFor,有效期限,String,特征适用的时间段。,,
CompetitorIntelCharacteristic,,,,valueType,值类型,String,特征可以采用的一种值，例如数字、文本等。,,
CompetitorIntelCharacteristicValue,CompetitorIntel特征值,可以分配给 CompIntelCharacteristic 的数字或文本。,启用,fromValue,起始值,String,特征可以呈现的低范围值。,,
CompetitorIntelCharacteristicValue,,,,isDefault,是否默认,String,指示该值是否为特征的默认值。,,
CompetitorIntelCharacteristicValue,,,,rangeInterval,范围区间,String,"指定包含或排除 valueFrom 和 valueTo 属性的指示符。
可能的值为“打开”、“关闭”、“关闭底部”和“关闭顶部”。",,
CompetitorIntelCharacteristicValue,,,,toValue,结束值,String,特征可以采用的上限范围值。,,
CompetitorIntelCharacteristicValue,,,,unitOfMeasure,计量单位,String,长度、表面积、体积、干量、液体量、金钱、重量、时间等。一般来说，指定类型的确定数量或大小，作为与其他同类产品进行比较的标准，并为其指定数值，如 1 英尺、1 码、1 英里、1 平方英尺。,,
CompetitorIntelCharacteristicValue,,,,validFor,有效期限,String,值适用的时间段。,,
CompetitorIntelCharacteristicValue,,,,value,值,String,"特征可以采用的离散值。
value 或 valueFrom 和/或 valueTo 是必需的。",,
CompetitorIntelCharacteristicValue,,,,valueType,值类型,String,特征可以采用的一种值，例如数字、文本等。,,
CompetitorIntelligence,术语CompetitorIntelligence,收集有关竞争对手计划和活动的事实。这些事实可用于执行竞争对手的 SWOT 分析，以便更好地了解竞争对手。,启用,description,描述,String,描述竞争对手情报的叙述。,,
CompetitorIntelligence,,,,ID,标识,String,竞争对手情报的唯一标识符。（«required»）,是,
CompetitorIntelligence,,,,validFor,有效期限,String,竞争对手情报适用的期限。,,
CompetitorIntelligenceMarketSegment,CompetitorIntelligence市场细分,竞争对手提供产品的市场细分。,启用,plannedEntryDate,plannedEntry日期,String,竞争对手打算开始向细分市场提供产品的日期。,,
CompetitorIntelligenceMarketSegment,,,,plannedMarketCoverage,planned市场Coverage,String,描述竞争对手将/正在/已经扩展到市场细分的程度的百分比或描述。,,
CompetitorIntelligenceMarketSegment,,,,plannedSpending,术语plannedSpending,String,竞争对手打算花费的金额使产品在细分市场中可用。,,
CompetitorIntelligenceMarketSegment,,,,rank,术语rank,String,某个市场细分中的竞争对手相对于该细分市场中的其他竞争对手的重要性或卓越程度。,,
CompetitorIntelligencePartyRole,CompetitorIntelligence参与方角色,开发竞争情报的当事人角色。,启用,ciSource,ci来源,String,竞争对手情报的来源，例如由当事人角色收集的财务报告、新闻稿或产品手册。,,
CompetitorIntelligencePartyRole,,,,dateAcquired,日期Acquired,String,扮演一方角色的一方收集竞争对手情报的日期。,,
CompetitorIntelligencePartyRole,,,,description,描述,String,解释情报如何收集等事情的叙述。,,
CompositeCompIntelCharacteristic,CompositeCompIntel特征,一种 CompIntelCharacteristic，通过聚合其他 CompIntelCharacteristic 形成，可以是 Composite 或 Atomic CompIntelCharacteristic。,启用,derivationFormula,推导公式,String,以符号、数字或字母表示的规则或原则，通常以方程的形式用于导出特征值的值。,,
CompositeCompIntelCharacteristic,,,,description,描述,String,解释特征是什么的叙述。,,
CompositeCompIntelCharacteristic,,,,extensible,术语extensible,String,一个指示符，指定在实例化实体的特征时可以通过添加新值来扩展特征的值。,,
CompositeCompIntelCharacteristic,,,,ID,标识,String,CompetitorIntelCharacteristic的唯一标识符。（«required»）,是,
CompositeCompIntelCharacteristic,,,,maxCardinality,最大基数,String,CharacteristicValue 可以呈现的最大实例数。例如，群组呼叫计划中的零到五个电话号码，其中 5 是 maxCardinality 的值。,,
CompositeCompIntelCharacteristic,,,,minCardinality,最小基数,String,CharacteristicValue 可以呈现的最小实例数。例如，群组呼叫计划中的零到五个电话号码，其中零是 minCardinality 的值。,,
CompositeCompIntelCharacteristic,,,,name,名称,String,一个单词、术语或短语，通过它可以了解特征并与特征区分开来。（«required»）,,是
CompositeCompIntelCharacteristic,,,,unique,唯一,String,"指定值对于规范是否唯一的指示符。
可能的值为； “在值有效时唯一”和“无论值是否有效都是唯一”",,
